campaign_id,year,year_circa,year_note,tax_type
1,,,,
2,,,NEDOSTAJE 193-197,
3,1495,,,dica
4,1500,1,"c, 1500",dica
5,1507,,,
6,1507,,,dica
7,1509,,,dica
8,1512,,,dica
9,1513,,,dica
10,1517,,,dica
11,1517,,"Nedostaje 1517: 89-97, 105-112",
12,1520,,,dica
13,1533,,,dica
14,1543,,,dica
15,1546,,,dica
16,1553,,,dica
17,1553,,,dimnica
18,1554,,,dica
19,1566,,,dica
20,1567,,,dica
21,1567,,1567 nedostaju-1566 popisani,dica
22,1567,,1567 popisani-1566 nedostaju,dica
23,1568,,,dica
24,1570,,,dica
25,1570,,1570-dodatno prema 1567,dica
26,1573,,,dica
27,1574,,,dica
28,1576,,,dica
29,1578,,,dica
30,1579,,,dica
31,1582,,,dica
32,1596,,,dica
33,1675,,,dica
