code,english,canonical,needs_review
Abbas,,Abbas,0
Abbatia,,Abbatia,0
Abbatia Beatae Mariae Virginis,,Abbatia Beatae Mariae Virginis,0
Abbatia Beatae Virginis,,Abbatia Beatae Virginis,1
Abbatia Beate Virginis,,Abbatia Beatae Virginis,1
Abbatia Beate Virginis de area capitulari,,Abbatia Beate Virginis de area capitulari,1
Abbatia Beate Virginis de area capituli,,Abbatia Beate Virginis de area capitulari,1
Abbatia ad Thopozkam,,Abbatia ad Thopozkam,0
Abbatia ad Thopozkam),,Abbatia ad Thopozkam,0
Abbatia ad Thopozkam*,,Abbatia ad Thopozkam,0
Abbatia ad Topozkam,,Abbatia ad Thopozkam,0
Abbatia ad Topozkam*,,Abbatia ad Thopozkam,0
Abbatia bellensis,,Abbatia bellensis,0
Abbatia bellensis*,,Abbatia bellensis,0
Abbatia thoplicensis,,Abbatia thoplicensis,0
Abbatia zagrabiensis,,Abbatia zagrabiensis,0
Aurifaber (zlatar),,Aurifaber (zlatar),0
Banus,ban (viceroy),Banus,0
Beate Marie Virginis,,Beate Marie Virginis,0
Biskup kninski (Episcopus Thiniensis),,Biskup kninski (Episcopus Thiniensis),0
Biskup kninski (Episcopus Thiniensis)*,,Biskup kninski (Episcopus Thiniensis),0
Biskup pećki (Episcopus Quinqueecclesiensis),,Biskup pećki (Episcopus Quinqueecclesiensis),0
Biskup zagrebački (Episcopus Zagrabiensis),Bishop of Zagreb,Biskup zagrebački (Episcopus Zagrabiensis),1
Biskup zagrebački (Episcopus Zagrabiensis) (?),,Biskup zagrebački (Episcopus Zagrabiensis),1
Biskup zagrebački (Episcopus Zagrabiensis) de Zenthgergh,,Biskup zagrebački (Episcopus Zagrabiensis) de Zenthgergh,0
Biskup zagrebački (Episcopus Zagrabiensis)*,,Biskup zagrebački (Episcopus Zagrabiensis),1
"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus",,"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus",1
"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus Colocensis, banus",,"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus",1
"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus Coloczensis, banus",,"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus",1
"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus, banus",,"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus",1
"Biskup zagrebački (Episcopus Zagrabiensis), archiepiscopus, banus",,"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus",1
"Biskup zagrebački (Episcopus Zagrabiensis), banus",,Biskup zagrebački (Episcopus Zagrabiensis),1
"Biskup zagrebački (Episcopus Zagrabiensis), nadbiskup (archiepiscopus), banus",,"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus",1
Cantor,,Cantor,0
Cantor-St. Crux,,Cantor-St. Crux,0
Capitulum Albense,,Capitulum Albensis,1
Capitulum Albensis,,Capitulum Albensis,1
Causarum regalium directoris,,Causarum regalium directoris,0
Citarista,,Citarista,0
Claustrum Crisiense,,Claustrum Crisiense,0
Coloni plebanatus,,Coloni plebanatus,0
Comes,,Comes,0
Custos,,Custos,0
Custos Chasmensis,,Custos Chasmensis,0
Despotissa,,Despotissa,0
Dicator,,Dicator,0
Dicator (Ladislaus Imprych),,Dicator (Ladislaus Imprych),0
Dicator (gener eius),,Dicator (gener eius),0
Director,,Director,0
Director causae,,Director causae,0
Director causarum regalium,,Directoris causarum regalium,1
Directoris causarum regalium,,Directoris causarum regalium,1
Diversorum,,Diversorum,0
Domina ducissa,,Domina ducissa,0
Dominus Thezaurarius,,Dominus Thezaurarius,0
Dominus sufraganeus,,Dominus sufraganeus,0
Domus hospitalis,,Domus hospitalis,0
Draguljar (gemmifisor),,Draguljar (gemmifisor),0
Duccisa,,Ducissa,0
Ducissa,,Ducissa,0
Ducissa* de dicto Medwewar,,Ducissa* de dicto Medwewar,0
Dux,,Dux,0
Dux (knez),,Dux (knez),0
Episcopus,,Episcopus,0
"Episcopus, banus",,"Episcopus, banus",0
Eremiti (Fratres heremitae),Pauline hermit friars,Eremiti (Fratres heremitae),0
Eremiti (Fratres heremitae) Beate Anne,,Eremiti (Fratres heremitae) Beate Anne,1
Eremiti (Fratres heremitae) St. Anne,,Eremiti (Fratres heremitae) Beate Anne,1
Eremiti (Fratres heremitae) St. Benedicti,,Eremiti (Fratres heremitae) St. Benedicti,1
Eremiti (Fratres heremitae) de Garygh,,Eremiti (Fratres heremitae) sub Garyg,1
Eremiti (Fratres heremitae) de Lepaglawa,,Eremiti (Fratres heremitae)-Lepoglava,1
Eremiti (Fratres heremitae) prope Zagrabiam,,Eremiti (Fratres heremitae) prope Zagrabiam,0
Eremiti (Fratres heremitae) sub Garyg,,Eremiti (Fratres heremitae) sub Garyg,1
Eremiti (Fratres heremitae) sub Kamenie,,Eremiti (Fratres heremitae) sub Medwe,1
Eremiti (Fratres heremitae) sub Medwe,,Eremiti (Fratres heremitae) sub Medwe,1
Eremiti (Fratres heremitae) sub Medwewar,,Eremiti (Fratres heremitae) sub Medwe,1
Eremiti (Fratres heremitae) zagrebački,,Eremiti (Fratres heremitae) zagrebački,0
Eremiti (Fratres heremitae)-Lepoglava,,Eremiti (Fratres heremitae)-Lepoglava,1
Eremiti (Fratres heremitae)-St. Anna,,Eremiti (Fratres heremitae) Beate Anne,1
Eremiti (Fratres heremitae)-St.Benedikt,,Eremiti (Fratres heremitae) St. Benedicti,1
Eremiti (Fratres heremitae)-sub Medwe,,Eremiti (Fratres heremitae) sub Medwe,1
Eremiti-Lepoglava,,Eremiti-Lepoglava,0
Familiaris domini bani,,Familiaris domini bani,0
Fratres,,Fratres,0
Fratres Eremiti (Fratres heremitae),,Fratres Eremiti (Fratres heremitae),0
Fratres Eremiti (Fratres heremitae)-Lepoglava,,Fratres Eremiti (Fratres heremitae)-Lepoglava,0
Fratres Sancte Anne,,Fratres Sancte Anne,0
Fratres St. Ane,,Fratres St. Anne,0
Fratres St. Anne,,Fratres St. Anne,0
Fratres St. Augustini,,Fratres St. Augustini,0
Fratres St. Francisci,,Fratres St. Francisci,0
Fratres de Kamennye,,Fratres de Kamennye,0
Fratres predicatores,,Fratres predicatores,0
Fratres predicatores-Chasma,,Fratres predicatores-Chasma,0
Fratres predicatorum,,Fratres predicatorum,0
Fratres zagrabienses,,Fratres zagrabienses,0
Fratres-Crisium,,Fratres-Crisium,0
Fratres-Lepoglava,,Fratres-Lepoglava,0
Fratres-Ludbreg,,Fratres-Ludbreg,0
Fratres-Varasd,,Fratres-Varasd,0
Fratres-franjevci,,Fratres-franjevci,0
Fratres-pavlini-Lepoglava,,Fratres-pavlini-Lepoglava,0
Fratrum predicatorum de Wereucze,,Fratrum predicatorum de Wereucze,0
Glagoljaš (glagolyhta),,Glagoljaš (glagolyhta),0
Gradec (Civitas Montis Grecensis Zagrabiensis),,Gradec (Civitas Montis Grecensis Zagrabiensis),1
Gradec (Civitas Montis Grecensis Zagrabiensis)-civitas,,Gradec (Civitas Montis Grecensis Zagrabiensis),1
Greben,,Greben,0
Hospitalis,,Hospitalis,0
Hospitium domini bani et domini thesaurarii,,Hospitium domini bani et domini thesaurarii,0
Inquilin,,Inquilini,1
Inquilini,,Inquilini,1
Insistor,,Insistor,0
Ispan*,,Ispan*,0
Judex Capituli Zagrabiensis,,Judex Capituli Zagrabiensis,0
Judex nobilium,noble magistrate (judge of nobles),Judex nobilium,0
Judex nobilium (Zagrebačka župnija),,Judex nobilium (Zagrebačka župnija),0
Judex nobilium ultra Kwppam,,Judex nobilium ultra Kwppam,0
Judex nobilium*,,Judex nobilium,0
"Judex nobilium, Litteratus",,"Judex nobilium, Litteratus",0
"Judex nobilium, litteratus",,"Judex nobilium, Litteratus",0
Juratus nobilis,,Juratus nobilis,0
Juratus nobilis*,,Juratus nobilis,0
Kaptol pećuški (Capitulum Quinqueecclesiense),,Kaptol pećuški (Capitulum Quinqueecclesiense),0
Kaptol zagrebački,,Kaptol zagrebački,0
Kaptol zagrebački (Capitulum Zagrabiense),Zagreb cathedral chapter,Kaptol zagrebački (Capitulum Zagrabiense),0
Kaptol Čazmanski,,Kaptol Čazmanski,0
Kaptol čazmanski (Capitulum Chasmense),,Kaptol čazmanski (Capitulum Chasmense),0
Kardinal,,Kardinal,0
Kaštelan (castellanus),,Kaštelan (castellanus),0
Kralj (rex),,Kralj (rex),0
"Kralj (rex), cum colonis nobilium ibidem praedialium",,"Kralj (rex), cum colonis nobilium ibidem praedialium",0
Kramar (institor),,Kramar (institor),0
Lector,,Lector,0
Lector Casmensis,,Lector Casmensis,0
Lector-Zagrabia,,Lector-Zagrabia,0
Literatus,,Litteratus,0
Litteratus,literate / clerk (litteratus),Litteratus,0
Litteratus Chasmensis,,Litteratus Chasmensis,0
Litteratus Judex nobilium,,"Litteratus, Judex nobilium",1
"Litteratus, Dicator",,"Litteratus, dicator",0
"Litteratus, Judex nobilium",,"Litteratus, Judex nobilium",1
"Litteratus, Michael",,"Litteratus, Michael",0
"Litteratus, Predialis (predijalac)",,"Litteratus, Predialis (predijalac)",0
"Litteratus, Vicejudex nobilium",,"Litteratus, Judex nobilium",1
"Litteratus, civis Zagrabiensis",,"Litteratus, civis Zagrabiensis",0
"Litteratus, dicator",,"Litteratus, dicator",0
"Litteratus, exactor dicae, predijalac (predialis domini episcopi et bani)",,"Litteratus, exactor dicae, predijalac (predialis domini episcopi et bani)",0
Locumtenens,,Locumtenens,0
Lukawecz-castellum,,Lukawecz-castellum,0
Magister,master,Magister,0
Magister C.R.,,Magister C.R.,0
Magister Prothonotarius,,Magister protonotharius,0
Magister canonicus,,Magister canonicus,0
Magister capelle,,Magister capelle,0
Magister capelle Laurentii ducis,,Magister capelle Laurentii ducis,0
Magister hospitalis,,Magister hospitalis,0
Magister hospitalis de Wereucze,,Magister hospitalis de Wereucze,1
Magister hospitalis de Werewcze,,Magister hospitalis de Wereucze,1
Magister hospitalis de oppido Werewcze,,Magister hospitalis de Wereucze,1
Magister hospitalis in Monozlo,,Magister hospitalis in Monozlo,0
Magister organista,,Magister organista,0
Magister prebendarius,,Magister prebendarius,0
Magister prothonotarius,,Magister protonotharius,0
Magister protonotharius,,Magister protonotharius,0
Monozlo*,,Monozlo*,0
Nadbiskup (Archiepiscopus ad Monozlo),,Nadbiskup (Archiepiscopus ad Monozlo),0
Nadbiskup ostrogonski (Archiepiscopus Strigoninesis),,Nadbiskup ostrogonski (Archiepiscopus strigoniensis),1
Nadbiskup ostrogonski (Archiepiscopus Strigoninesis)*,,Nadbiskup ostrogonski (Archiepiscopus strigoniensis),1
Nadbiskup ostrogonski (Archiepiscopus strigoniensis),,Nadbiskup ostrogonski (Archiepiscopus strigoniensis),1
Nadbiskup ostrogonski (Archiepiscopus strigoniensis)*,,Nadbiskup ostrogonski (Archiepiscopus strigoniensis),1
Nobiles (miserorum nobilium),,Nobiles (miserorum nobilium),0
Nobiles Campi Zagrabiensis,,Turopoljska plemenita općina (Nobiles Campi Zagrabiensis),0
Nobiles campi,,Turopoljska plemenita općina (Nobiles Campi Zagrabiensis),0
Nobiles campi Zagrabiensis,,Turopoljska plemenita općina (Nobiles Campi Zagrabiensis),0
Nobiles de Beryzlawcz,,Nobiles de Beryzlawcz,0
Nobiles de Hrwssowcz,,Nobiles de Hrwssowcz,1
Nobiles de Korylowcz,,Nobiles de Korylowcz,0
Nobiles de Lwkawecz,,Nobiles de Lwkawecz,0
Nobiles de Mykwlych,,Nobiles de Mykwlych,0
Nobiles praediales,,Nobiles praediales,0
Nobiles praediales de Samssynowcz,,Nobiles praediales de Samssynowcz,0
Nobiles prediales episcopatus Zagrabiensis,,Nobiles prediales episcopatus Zagrabiensis,0
Nobiles unius sessionis,,Nobiles unius sessionis,0
Nobiles unius sessionis ad Monozlo,,Nobiles unius sessionis ad Monozlo,0
Nobiles unius sessionis in provincia Chasmensi,,Nobiles unius sessionis in provincia Chasmensi,1
Nobiles unius sessionis in provincia Dombrensi,,Nobiles unius sessionis in provincia Chasmensi,1
Nobiles unius sessionis provincie Chasmensis,,Nobiles unius sessionis in provincia Chasmensi,1
Nobiles-Hrwssowcz,,Nobiles de Hrwssowcz,1
Notarius comitati,,Notarius comitati,0
Notarius sedis,,Notarius sedis,0
Organista,,Organista,0
Ostrogonski nadbiskup (Archiepiscopus strigoniensis),,Ostrogonski nadbiskup (Archiepiscopus strigoniensis),0
Palatinissa,,Palatinissa,0
Palatinus,,Palatinus,0
Plebanus cum prebenda,,Plebanus cum prebenda,0
Plebanus et prebendarius,,Plebanus et prebendarius,0
Plemići predijalci Zagrebačke biskupije (Nobiles prediales episcopatus Zagrabiensis),,Plemići predijalci Zagrebačke biskupije (Nobiles prediales episcopatus Zagrabiensis),0
Pokwpye-castrum,,Pokwpye-castrum,0
Prebenda (prebenda),,Prebenda (prebenda),0
Prebendar,,Prebendar,0
Prebendar (prebendarius Laurentii ducis),,Prebendar (prebendarius Laurentii ducis),0
Prebendar (prebendarius hospitalis),,Prebendar (prebendarius hospitalis),0
"Prebendar (prebendarius hospitalis), capellanus domini episcopi",,"Prebendar (prebendarius hospitalis), capellanus domini episcopi",0
Prebendar (prebendarius),prebendary,Prebendar (prebendarius),1
Prebendar (prebendarius) Varalya,,Prebendar (prebendarius) Varalya,0
Prebendar (prebendarius) ad Achyna,,Prebendar (prebendarius) ad Achyna,0
Prebendar (prebendarius)-Prodauiz,,Prebendar (prebendarius)-Prodauiz,0
Prebendari (prebendari Chasmensi sancte Katherine),,Prebendari (prebendari Chasmensi sancte Katherine),0
Prebendari (prebendari),,Prebendar (prebendarius),1
Prebendari (prebendarii),,Prebendar (prebendarius),1
Prebendarius,prebendary,Prebendarius,0
Prebendarius dominis Michael do Monozlo,,Prebendarius dominis Michael do Monozlo,0
Prebendarius et magister scholae,,Prebendarius et magister scholae,1
Prebendarius et magister schole,,Prebendarius et magister scholae,1
Prebendarius et rector scholae,,Prebendarius et rector scholae,0
Prebendarius hospitalis,,Prebendarius hospitalis,0
Prebendarius-Achyna,,Prebendarius-Achyna,0
Prebendarius-Dragowya,,Prebendarius-Dragowya,0
Prebendarius-St. Katharina,,Prebendarius-St. Katharina,0
Prebendarius-Zemche,,Prebendarius-Zemche,0
Prediales unius sessionis,,Prediales unius sessionis,0
Prediales unius sessionis de Monozlo,,Prediales unius sessionis de Monozlo,0
Predialis (predijalac),,Predialis (predijalac),0
Predialis-castellum Bosyako*,,Predialis-castellum Bosyako*,0
Predicator,,Predicator,0
Predijalac (predialis domini episcopi et bani),,Predijalac (predialis domini episcopi et bani),0
Predijalac (predialis),,Predijalac (predialis),1
Predijalac (predialis)-Abbatia*,,Predijalci (prediales)-abbatia,1
Predijalci (prediales),,Predijalac (predialis),1
Predijalci (prediales)-Dominus episcopus,,Predijalci (prediales)-Dominus episcopus,0
Predijalci (prediales)-abbatia,,Predijalci (prediales)-abbatia,1
Predijalci Vranskog priorata,,Predijalci Vranskog priorata,0
Predijalci razni Zagrebačke opatije (Prediales diversae abbatiae Zagrabiensis),,Predijalci razni Zagrebačke opatije (Prediales diversae abbatiae Zagrabiensis),0
"Predijalci, prebendari, župnici (prediales, prebendari, plebani)",,"Predijalci, prebendari, župnici (prediales, prebendari, plebani)",0
Predium,,Predium,0
Prepošt (Prepositus Maior-Zagrabia),,Prepošt (Prepositus Maior-Zagrabia),0
Prepošt (Vicus prepositure de area in plebanatu Sancte Marie Zagrabiensis),,Prepošt (Vicus prepositure de area in plebanatu Sancte Marie Zagrabiensis),0
Prepošt (praepositus major),,Prepošt (praepositus major),1
Prepošt (praepositus minor),,Prepošt (praepositus major),1
