authority_id,canonical_name,modern_place,county_id,n_variants,n_entries,method,needs_review,lat,lon,hide_from_map
1,",,,owcz",,2,1,1,singleton,0,,,0
2,Abbatia,Topusko,4,1,1,manual,0,45.2931510,15.9789277,0
3,Abbatia (Opathowyna),Dolac,4,1,1,singleton,0,45.8142928,15.9772391,0
4,"Opathowyna, Kopam",Opatija,4,4,16,modern,0,45.5441702,15.9910957,0
5,Achyna,Voćin,1,1,27,manual,0,45.616700,17.550000,0
6,Adamowcz,Haganj,1,2,5,manual,1,45.9147515,16.5787186,0
7,Adamowcz,Adamovec,4,2,79,orthographic-exact,0,45.9044495,16.1633161,0
8,Adamowcz - Zowkowcz,Haganj,1,3,3,manual,1,45.9147515,16.5787186,0
9,Ahmath,,1,1,1,singleton,0,,,0
10,Aladarocz,Korenovo,1,1,1,manual,1,45.8585850,16.8114639,0
11,Aladaryowch - Mylethyncz,Miletinec,1,1,1,manual,1,45.933300,16.733300,0
12,Alberthowyna,,1,2,4,orthographic-fuzzy,1,,,0
13,Alexandrocz,Repinec,1,1,1,manual,1,45.9496503,16.5053178,0
14,Also Gerzencze,Donja Gračenica,1,2,2,manual,0,45.5666667,16.6166667,0
15,Also Bakwa,Donja Bukovica,3,2,7,orthographic-exact,0,45.6856551,17.8071027,0
16,Chasma,Čazma,1,10,59,modern,0,45.7483719,16.6132008,0
17,Also Izdencz,Donji Zdenci,1,1,1,manual,0,45.5833333,17.9500000,0
18,Also Jalsewycza,Čvrstec,1,1,3,manual,1,46.0044639,16.6638832,0
19,Alsolomnycza,Donja Lomnica,4,4,28,modern,0,45.7117085,16.0205866,0
20,"Also Lomnycza, Koztanyewcz","Donja Lomnica, Kostanjevec",4,4,13,modern,0,45.7117085,16.0205866,0
21,Also Soploncza,Gornja Stupčanica,1,1,4,manual,0,45.6253030,17.3375580,0
22,Also Soproncha,Gornja Stupčanica,1,3,4,manual,0,45.6253030,17.3375580,0
23,Also Thothwssewyna,Topolovac,1,1,1,manual,0,45.4605556,16.4358333,0
24,Also Totusewyna,Topolovac,1,1,1,manual,0,45.4605556,16.4358333,0
25,Wolawlya,Volavje,4,23,85,modern,0,45.6550577,15.6058087,0
26,Also Zemche,Donje Svetačje,1,2,6,manual,1,45.3200000,16.9500000,0
27,Also Ztobycza,Donja Stubica,4,17,56,modern,0,45.9801727,15.9722428,0
28,"Also Ztobycza cum pertinentiis, Jakowlya","Donja Stubica, Jakovlje",4,1,3,singleton,0,45.9801727,15.9722428,0
29,Andraswelgh,Dišnik,1,1,1,manual,1,45.6076839,16.8758897,0
30,Antholocz - Ramyncz - Chernecz - Thremecz,Crnac,3,1,2,manual,1,45.6927000,17.9383000,0
31,Apathowcz,Apatovec,1,1,2,manual,0,46.1477141,16.5726328,0
32,Apporowcz,Oporovec,1,2,2,manual,1,46.3319000,16.6750000,0
33,Area Capitulari-vicus,Laška ulica (Zagreb),4,1,1,manual,1,45.8364382,16.0426652,0
34,Athak,Otok,1,4,17,modern,0,45.7934210,16.5881516,0
35,Othok,Samoborski Otok,4,6,15,manual,0,45.8372681,15.7319730,0
36,"Athak, Themerye",Otok,1,1,1,singleton,0,45.7934210,16.5881516,0
37,"Athak,Tamerye, Kamarchya","Otok, Demerje",1,2,2,modern,0,45.7934210,16.5881516,0
38,Atthak Zenth Ilona apud Zamobor,Sveta Jelena Samoborska,4,3,3,manual,1,45.8020000,15.7110000,0
39,Bapcha,Črnkovec,4,4,11,manual,1,45.7506386,16.1197623,0
40,Babyncz,Babinec,2,1,7,singleton,0,46.3718386,16.1094420,0
41,Babynschyna,Babinac Ivanski,1,2,2,manual,0,45.7495926,16.8120677,0
42,Babynschyna  Koren,Babinac Ivanski,1,2,2,manual,0,45.7495926,16.8120677,0
43,Bachyn,Ploščica,1,1,3,manual,0,45.7616253,16.8854923,0
44,Baganoz,,1,1,2,singleton,0,,,0
45,Bagenowcz,Badljevina,1,1,2,manual,1,45.5132189,17.1924562,0
46,Bahonyn,Zvekovac,1,2,4,manual,1,45.8194598,16.5009602,0
47,Bakheg,,1,1,1,singleton,0,,,0
48,Bakolcza,Donja Bukovica,1,1,2,manual,0,45.6600000,17.7669444,0
49,Bakolcza Zygeth,Donja Bukovica,1,1,1,manual,0,45.6600000,17.7669444,0
50,Bakowcza,Mali Bukovec,1,2,12,manual,0,46.285702,16.738299,0
51,Bakwa,Špišić Bukovica,3,1,1,manual,0,45.8578490,17.3011788,0
52,Bancz,Baničevec,1,2,5,manual,1,45.9209000,16.2929000,0
53,Banowch,Gorica Miholečka,1,1,1,manual,1,46.0540578,16.4253175,0
54,Banowch,Gorica Miholečka,1,1,1,manual,1,46.0540578,16.4253175,0
55,Banowcz  Gorycza,Gorica Miholečka,1,1,1,manual,0,46.0540578,16.4253175,0
56,Banthusovcz,Bolč,1,2,2,manual,0,45.8908489,16.6763101,0
57,Bara ad Belam,Čaglić,1,1,1,manual,1,45.3866531,17.1570441,0
