place_id,historical_name,county_id,authority_id,method,needs_review
1,",,,owcz",2,1,singleton,0
2,Abbatia,4,2,manual,0
3,Abbatia (Opathowyna),4,3,singleton,0
4,Abbatia Zagrabiensis,4,4,modern,0
5,Achyna,1,5,manual,0
6,Adamoucz,1,6,manual,1
7,Adamowch,4,7,orthographic-exact,0
8,Adamowcz,1,6,manual,1
9,Adamowcz,4,7,orthographic-exact,0
10,"Adamowcz, Thewkowcz",1,8,manual,1
11,"Adamowcz, Wragowcz",1,8,manual,1
12,"Adamowcz, Zowkowcz",1,8,manual,1
13,Ahmath,1,9,singleton,0
14,Aladarocz,1,10,manual,1
15,"Aladaryowch, Mylethyncz",1,11,manual,1
16,Alberthowyna,1,12,orthographic-fuzzy,1
17,Albethowyna,1,12,orthographic-fuzzy,1
18,Alexandrocz,1,13,manual,1
19,Allso Gerzencze,1,14,manual,0
20,Also Bakva,3,15,orthographic-exact,0
21,Also Bakwa,3,15,orthographic-exact,0
22,Also Chesmiche,1,16,modern,0
23,Also Chesmicze,1,16,modern,0
24,Also Chesmycze,1,16,modern,0
25,Also Chezmycze,1,16,modern,0
26,Also Czesmycze,1,16,modern,0
27,Also Gerzencze,1,14,manual,0
28,Also Izdencz,1,17,manual,0
29,Also Jalsewycza,1,18,manual,1
30,Also Lomnicza,4,19,modern,0
31,Also Lomnycza,4,19,modern,0
32,"Also Lomnycza, Koztanyewcz",4,20,modern,0
33,Also Soploncza,1,21,manual,0
34,Also Soproncha,1,22,manual,0
35,Also Soproncza,1,22,manual,0
36,Also Thothwssewyna,1,23,manual,0
37,Also Totusewyna,1,24,manual,0
38,Also Volavlya,4,25,modern,0
39,Also Wolawlya,4,25,modern,0
40,Also Wolawlyaa,4,25,modern,0
41,Also Zemche,1,26,manual,1
42,Also Zempche,1,26,manual,1
43,Also Zthobycza,4,27,modern,0
44,Also Zthobycza-cum pertinentiis,4,27,modern,0
45,Also Zthwbycza,4,27,modern,0
46,Also Zthwbycza cum pertinentiis,4,27,modern,0
47,Also Zthwbycza-castellum cum pertinentiis,4,27,modern,0
48,Also Ztobycza,4,27,modern,0
49,"Also Ztobycza cum pertinentiis, Jakowlya",4,28,singleton,0
50,Also Ztobycza-castellum cum pertinentiis,4,27,modern,0
51,Also Ztobycze,4,27,modern,0
52,Also Ztubycza-castellum cum pertinentiis,4,27,modern,0
53,Alsolomnycza,4,19,modern,0
54,"Alsolomnycza, Koztanyewcz",4,20,modern,0
55,"Alsolomnycza, Koztanyowcz",4,20,modern,0
56,"Alsolomnycza, Kozthanyewcz",4,20,modern,0
57,Alsolompnycza,4,19,modern,0
58,Alsoo Zthwbycza cum pertinentiis,4,27,modern,0
59,Alsoo Zthwbycza de Zomzewdara,4,27,modern,0
60,Alsoo Zthwbycza de Zthwbycza,4,27,modern,0
61,Alsowolawlia,4,25,modern,0
62,Alsowolawlya,4,25,modern,0
63,Alsozthobycza,4,27,modern,0
64,Alsozthobycza cum pertinentiis,4,27,modern,0
65,Alsoztobycza,4,27,modern,0
66,Alsw Soproncza,1,22,manual,0
67,Andraswelgh,1,29,manual,1
68,"Antholocz,Ramyncz,Chernecz, Thremecz",3,30,manual,1
69,Apathowcz,1,31,manual,0
70,Apporowcz,1,32,manual,1
71,Area Capitulari-vicus,4,33,manual,1
72,Atak,1,34,modern,0
73,Athak,1,34,modern,0
74,Athak,4,35,manual,0
75,"Athak, Themerye",1,36,singleton,0
76,"Athak, Themerye, Camarcha",1,37,modern,0
77,"Athak,Tamerye, Kamarchya",1,37,modern,0
78,Athak-uterque,4,35,manual,0
79,Athak-vterque,4,35,manual,0
80,"Attak-superior et inferior, Zenth Ilona apud Zamobor",4,38,manual,1
81,Atthak,4,35,manual,0
82,"Atthak uterque-superior et inferior, Zenth Ilona prope Zamobor",4,38,manual,1
83,"Atthak, Zenth Ilona apud Zamobor",4,38,manual,1
84,Babcha,4,39,manual,1
85,Babchya,4,39,manual,1
86,Babpcha,4,39,manual,1
87,Babyncz,2,40,singleton,0
88,Babynschyna,1,41,manual,0
89,"Babynschyna, Koren",1,42,manual,0
90,"Babynsthyna, Koren",1,42,manual,0
91,Bachyn,1,43,manual,0
92,Baganoz,1,44,singleton,0
93,Bagenowcz,1,45,manual,1
94,Bahonincz,1,46,manual,1
95,Bahonyn,1,46,manual,1
96,Bakheg,1,47,singleton,0
97,Bakolcza,1,48,manual,0
98,"Bakolcza, Zygeth",1,49,manual,0
99,Bakowcha,1,50,manual,0
100,Bakowcza,1,50,manual,0
101,Bakwa,3,51,manual,0
102,Bancz,1,52,manual,1
103,Banczy,1,52,manual,1
104,Banowch,1,53,manual,1
105,Banowcz,1,54,manual,1
106,"Banowcz, Gorycza",1,55,manual,0
107,Banthusovcz,1,56,manual,0
108,Banthwsoucz,1,56,manual,0
109,Bapcha,4,39,manual,1
110,Bara ad Belam,1,57,manual,1
111,Barachka,4,58,manual,1
112,Baraczka,4,59,manual,1
113,Baranowcz,1,60,singleton,0
114,Barowcz,1,61,singleton,0
115,Barswelge,1,62,singleton,0
116,Barychewo,4,63,singleton,0
117,Bathyna,2,64,manual,1
118,Batyna,2,64,manual,1
119,Bedenicza,4,65,orthographic-exact,0
120,Bedennycza,4,65,orthographic-exact,0
121,Bedenycha,4,65,orthographic-exact,0
122,Bedenycza,4,65,orthographic-exact,0
123,"Bedenycza, Felsew Ztobicza",4,66,singleton,0
124,Bedenye,1,67,singleton,0
125,Bedkowcz,1,68,manual,0
126,Bedna,1,69,manual,0
127,Bednya,1,69,manual,0
128,Bednye,1,70,manual,1
129,Bednye cum pertinentiis,1,71,manual,1
130,Bednye seu Bukoucz,1,72,manual,1
131,Bednye seu Bwkowcz,1,73,manual,1
132,Bedowcz,1,68,manual,0
133,Bedowhcz,1,68,manual,0
134,Bedwdnycze,4,74,manual,0
135,Bekethincz,1,75,modern,0
136,Bekethincz ad Belam,1,75,modern,0
137,Bekethyncz,1,75,modern,0
138,Bekethyncz ad Kustherocz,1,75,modern,0
139,Bela,1,76,manual,0
140,Bela,2,77,modern,0
141,Bela cum pertinentiis,2,77,modern,0
142,"Bela cum pertinentiis, liberis et predialibus",1,76,manual,0
143,"Bela, Iwancz, Stasnowcz",2,78,orthographic-fuzzy,1
144,"Bela, Iwancza, Ztasnoucz",2,79,modern,0
145,"Bela, Threm",2,80,singleton,0
146,Bela-castrum cum pertinentiis,2,77,modern,0
147,"Bela-castrum, Iwancz, Stasnoucz",2,78,orthographic-fuzzy,1
148,"Bela-castrum, Iwancz, Zthasnowcz",2,78,orthographic-fuzzy,1
149,Bela-castrum-cum pertinentiis,2,77,modern,0
150,Belawarcz,1,81,manual,0
151,Belcheucz,1,82,manual,0
152,Belchewcz,1,82,manual,0
153,Belchowcz,1,83,singleton,0
154,Belcz,1,84,manual,0
