mention_id,place_id,toponym,source_fragment
1,1,owcz,owcz
2,3,Opathowyna,Abbatia (Opathowyna)
3,4,Zagrabiensis,Abbatia Zagrabiensis
4,5,Achyna,Achyna
5,6,Adamoucz,Adamoucz
6,7,Adamowch,Adamowch
7,8,Adamowcz,Adamowcz
8,9,Adamowcz,Adamowcz
9,10,Adamowcz,Adamowcz
10,10,Thewkowcz,Thewkowcz
11,11,Adamowcz,Adamowcz
12,11,Wragowcz,Wragowcz
13,12,Adamowcz,Adamowcz
14,12,Zowkowcz,Zowkowcz
15,13,Ahmath,Ahmath
16,14,Aladarocz,Aladarocz
17,15,Aladaryowch,Aladaryowch
18,15,Mylethyncz,Mylethyncz
19,16,Alberthowyna,Alberthowyna
20,17,Albethowyna,Albethowyna
21,18,Alexandrocz,Alexandrocz
22,19,Allso Gerzencze,Allso Gerzencze
23,20,Also Bakva,Also Bakva
24,21,Also Bakwa,Also Bakwa
25,22,Also Chesmiche,Also Chesmiche
26,23,Also Chesmicze,Also Chesmicze
27,24,Also Chesmycze,Also Chesmycze
28,25,Also Chezmycze,Also Chezmycze
29,26,Also Czesmycze,Also Czesmycze
30,27,Also Gerzencze,Also Gerzencze
31,28,Also Izdencz,Also Izdencz
32,29,Also Jalsewycza,Also Jalsewycza
33,30,Also Lomnicza,Also Lomnicza
34,31,Also Lomnycza,Also Lomnycza
35,32,Also Lomnycza,Also Lomnycza
36,32,Koztanyewcz,Koztanyewcz
37,33,Also Soploncza,Also Soploncza
38,34,Also Soproncha,Also Soproncha
39,35,Also Soproncza,Also Soproncza
40,36,Also Thothwssewyna,Also Thothwssewyna
41,37,Also Totusewyna,Also Totusewyna
42,38,Also Volavlya,Also Volavlya
43,39,Also Wolawlya,Also Wolawlya
44,40,Also Wolawlyaa,Also Wolawlyaa
45,41,Also Zemche,Also Zemche
46,42,Also Zempche,Also Zempche
47,43,Also Zthobycza,Also Zthobycza
48,44,Also Zthobycza,Also Zthobycza-cum pertinentiis
49,45,Also Zthwbycza,Also Zthwbycza
50,46,Also Zthwbycza,Also Zthwbycza cum pertinentiis
51,47,Also Zthwbycza,Also Zthwbycza-castellum cum pertinentiis
52,48,Also Ztobycza,Also Ztobycza
53,49,Also Ztobycza,Also Ztobycza cum pertinentiis
54,49,Jakowlya,Jakowlya
55,50,Also Ztobycza,Also Ztobycza-castellum cum pertinentiis
56,51,Also Ztobycze,Also Ztobycze
57,52,Also Ztubycza,Also Ztubycza-castellum cum pertinentiis
58,53,Alsolomnycza,Alsolomnycza
59,54,Alsolomnycza,Alsolomnycza
60,54,Koztanyewcz,Koztanyewcz
61,55,Alsolomnycza,Alsolomnycza
62,55,Koztanyowcz,Koztanyowcz
63,56,Alsolomnycza,Alsolomnycza
64,56,Kozthanyewcz,Kozthanyewcz
65,57,Alsolompnycza,Alsolompnycza
66,58,Alsoo Zthwbycza,Alsoo Zthwbycza cum pertinentiis
67,59,Alsoo Zthwbycza de Zomzewdara,Alsoo Zthwbycza de Zomzewdara
68,60,Alsoo Zthwbycza de Zthwbycza,Alsoo Zthwbycza de Zthwbycza
69,61,Alsowolawlia,Alsowolawlia
70,62,Alsowolawlya,Alsowolawlya
71,63,Alsozthobycza,Alsozthobycza
72,64,Alsozthobycza,Alsozthobycza cum pertinentiis
