place_id,historical_name,county_id,modern_place,modern_uncertain
1,",,,owcz",2,,
2,Abbatia,4,,
3,Abbatia (Opathowyna),4,DOLAC,
4,Abbatia Zagrabiensis,4,OPATIJA,1
5,Achyna,1,,
6,Adamoucz,1,,
7,Adamowch,4,ADAMOVEC,
8,Adamowcz,1,ADAMOVEC,
9,Adamowcz,4,ADAMOVEC,
10,"Adamowcz, Thewkowcz",1,"ADAMOVEC,",1
11,"Adamowcz, Wragowcz",1,"ADAMOVEC,",1
12,"Adamowcz, Zowkowcz",1,"ADAMOVEC,",1
13,Ahmath,1,,
14,Aladarocz,1,,
15,"Aladaryowch, Mylethyncz",1,,
16,Alberthowyna,1,,
17,Albethowyna,1,,
18,Alexandrocz,1,,
19,Allso Gerzencze,1,,
20,Also Bakva,3,DONJA BUKOVICA,1
21,Also Bakwa,3,DONJA BUKOVICA,1
22,Also Chesmiche,1,ČAZMA,1
23,Also Chesmicze,1,ČAZMA,1
24,Also Chesmycze,1,ČAZMA,1
25,Also Chezmycze,1,ČAZMA,1
26,Also Czesmycze,1,ČAZMA,1
27,Also Gerzencze,1,,
28,Also Izdencz,1,,
29,Also Jalsewycza,1,,
30,Also Lomnicza,4,DONJA LOMNICA,
31,Also Lomnycza,4,DONJA LOMNICA,
32,"Also Lomnycza, Koztanyewcz",4,"DONJA LOMNICA, KOSTANJEVEC",
33,Also Soploncza,1,,
34,Also Soproncha,1,,
35,Also Soproncza,1,,
36,Also Thothwssewyna,1,,
37,Also Totusewyna,1,,
38,Also Volavlya,4,VOLAVJE,
39,Also Wolawlya,4,VOLAVJE,
40,Also Wolawlyaa,4,VOLAVJE,
41,Also Zemche,1,,
42,Also Zempche,1,,
43,Also Zthobycza,4,DONJA STUBICA,
44,Also Zthobycza-cum pertinentiis,4,DONJA STUBICA,
45,Also Zthwbycza,4,DONJA STUBICA,
46,Also Zthwbycza cum pertinentiis,4,DONJA STUBICA,
47,Also Zthwbycza-castellum cum pertinentiis,4,DONJA STUBICA,
48,Also Ztobycza,4,DONJA STUBICA,
49,"Also Ztobycza cum pertinentiis, Jakowlya",4,"DONJA STUBICA, JAKOVLJE",
50,Also Ztobycza-castellum cum pertinentiis,4,DONJA STUBICA,
51,Also Ztobycze,4,DONJA STUBICA,
52,Also Ztubycza-castellum cum pertinentiis,4,DONJA STUBICA,
53,Alsolomnycza,4,DONJA LOMNICA,
54,"Alsolomnycza, Koztanyewcz",4,"DONJA LOMNICA, KOSTANJEVEC",
55,"Alsolomnycza, Koztanyowcz",4,"DONJA LOMNICA, KOSTANJEVEC",
56,"Alsolomnycza, Kozthanyewcz",4,"DONJA LOMNICA, KOSTANJEVEC",
57,Alsolompnycza,4,DONJA LOMNICA,
58,Alsoo Zthwbycza cum pertinentiis,4,DONJA STUBICA,
59,Alsoo Zthwbycza de Zomzewdara,4,DONJA STUBICA,
60,Alsoo Zthwbycza de Zthwbycza,4,DONJA STUBICA,
61,Alsowolawlia,4,,1
62,Alsowolawlya,4,VOLAVJE,1
63,Alsozthobycza,4,DONJA STUBICA,
64,Alsozthobycza cum pertinentiis,4,DONJA STUBICA,
65,Alsoztobycza,4,DONJA STUBICA,
66,Alsw Soproncza,1,,
67,Andraswelgh,1,,
68,"Antholocz,Ramyncz,Chernecz, Thremecz",3,,
69,Apathowcz,1,,
70,Apporowcz,1,OPOROVEC,1
71,Area Capitulari-vicus,4,,
72,Atak,1,OTOK,
73,Athak,1,OTOK,
74,Athak,4,OTOK,
75,"Athak, Themerye",1,"OTOK,",
76,"Athak, Themerye, Camarcha",1,"OTOK, DEMERJE,",1
77,"Athak,Tamerye, Kamarchya",1,"OTOK, DEMERJE,",1
78,Athak-uterque,4,OTOK,
79,Athak-vterque,4,OTOK,
80,"Attak-superior et inferior, Zenth Ilona apud Zamobor",4,"OTOK, SVETA HELENA KOD SAMOBORA",
81,Atthak,4,OTOK,
82,"Atthak uterque-superior et inferior, Zenth Ilona prope Zamobor",4,"OTOK, SVETA HELENA KOD SAMOBORA",
83,"Atthak, Zenth Ilona apud Zamobor",4,"OTOK, SVETA HELENA KOD SAMOBORA",
84,Babcha,4,BABČA,
85,Babchya,4,BABČA,
86,Babpcha,4,BABČA,
87,Babyncz,2,BABINEC,
88,Babynschyna,1,,
89,"Babynschyna, Koren",1,,
90,"Babynsthyna, Koren",1,,
91,Bachyn,1,,
92,Baganoz,1,,
93,Bagenowcz,1,,
94,Bahonincz,1,,
95,Bahonyn,1,,
96,Bakheg,1,,
97,Bakolcza,1,,
98,"Bakolcza, Zygeth",1,,
99,Bakowcha,1,,
100,Bakowcza,1,,
101,Bakwa,3,,
102,Bancz,1,,
103,Banczy,1,,
104,Banowch,1,,
105,Banowcz,1,,
106,"Banowcz, Gorycza",1,,
107,Banthusovcz,1,,
108,Banthwsoucz,1,,
109,Bapcha,4,BABČA,
110,Bara ad Belam,1,,
111,Barachka,4,,1
112,Baraczka,4,,1
113,Baranowcz,1,,
114,Barowcz,1,,
115,Barswelge,1,,
116,Barychewo,4,,
117,Bathyna,2,,
118,Batyna,2,,
