code,latin,english
abbatia,abbatia,abbey
arx,arx,citadel / stronghold
cantoratus,cantoratus,cantorate benefice
capitulum,capitulum,cathedral chapter
castellum,castellum,small castle
castrum,castrum,castle / fortified seat
curia,curia,noble manor court
districtus,districtus,district
fortalitium,fortalitium,fortress
judicatus,judicatus,judicial district
oppidum,oppidum,market town
praedium,praedium,estate / manor farm
provincia,provincia,province / fiscal district
villa,villa,village
villicatus,villicatus,bailiwick / steward's district
