code,english,canonical,needs_review
5 sororum,,5 sororum,0
Consors,wife / consort,Consors,0
Consors-Georgius Herkffy,,Consors-Georgius Herkffy,0
Consors-Thuroczy,,Consors-Thuroczy,0
Consors-Thwroczy,,Consors-Thuroczy,0
Filia,,Filia,0
Filia Gregorii,,Filia Gregorii,0
Filia Gregorius Bradach,,Filia Gregorius Bradach,0
Filia-Gregorius,,Filia-Gregorius,0
Filia-Gregorius Bradach,,Filia Gregorius Bradach,0
"Filia-Gregorius, puella",,"Filia-Gregorius, puella",0
Filiarum,,Filiarum,0
Filiorum,,filiorum,0
Filius,son,Filius,0
Filius Georgii-quondam,,Filius Georgii-quondam,0
Filius Vincentii litterati,,Filius Vincentii litterati,0
Filius-Petrus Horwath,,Filius-Petrus Horwath,0
Filius-Vincencius Litteratus,,Filius-Vincencius Litteratus,0
Fillius Laurentii,,Fillius Laurentii,0
Fratres sub Garygh,,Fratres sub Garygh,0
Gener,,Gener,0
Gener-Relicta Kassnaricze,,Gener-Relicta Kassnaricze,0
Heredes,heirs,Heredes,0
Heredes (ibidem ad Selyn accesserunt fumi 3),,Heredes (ibidem ad Selyn accesserunt fumi 3),0
Heredes-Martini Janchecz,,Heredes-Martini Janchecz,0
Inquilinus,,Inquilinus,0
Mater,,Mater,0
Orphani,orphans,Orphani,0
Pauper,pauper,Pauper,0
Puella,unmarried girl / maiden,Puella,1
Puellae,,Puella,1
Quondam,,quondam,0
Relicta,widow (relict),Relicta,1
Relicta (Johannes),,Relicta Johannes,0
Relicta Dorothea,,Relicta Dorothea,0
Relicta Johannes,,Relicta Johannes,0
Relicta Mathias,,Relicta Mathias,0
Relicta Mlynchych,,Relicta Mlynchych,0
Relicta Stephanus,,Relicta Stephanus,0
Relicta Ztanych,,Relicta Ztanych,0
Relicta domina,,Relicta domina,0
Relicta i sinovi,,Relicta i sinovi,0
"Relicta, pauper",,"Relicta, pauper",0
Relicta-Bradach,,Relicta-Bradach,0
Relicta-Dominus Andreas Hennyngh,,Relicta-Dominus Andreas Hennyngh,0
Relicta-Dominus Stephanus Bradach,,Relicta-Dominus Stephanus Bradach,0
Relicta-Johannes Hassagy,,Relicta-Johannes Hassagy,0
Relicta-Johannes Kozloych,,Relicta-Johannes Kozloych,0
Relicta-Marcus Balog,,Relicta-Marcus Balog,0
Relicta-Matheus Litteratus de Threm,,Relicta-Matheus Litteratus de Threm,0
Relicta-Mathias,,Relicta Mathias,0
Relicta-Petrus Erdewdy,,Relicta-Petrus Erdewdy,0
Relicta-Stephanus Bradach,,Relicta-Stephanus Bradach,0
Relicta-Thomas Capitanffy,,Relicta-Thomas Capitanffy,0
Relictae,,Relicta,1
"Relictae: Mathias, Georgius",,"Relictae: Mathias, Georgius",0
Relictarum,of the widows,Relictarum,0
Uxor,wife,Uxor,0
Uxores (uxorum Gasparis et Michaelis Jambrekowych),,Uxores (uxorum Gasparis et Michaelis Jambrekowych),0
cum fratribus,,cum fratribus,0
filiorum,,filiorum,0
fratribus,,fratribus,0
gener,,Gener,0
gener Michael Thoth,,gener Michael Thoth,0
gener-Michael Thoth,,gener Michael Thoth,0
generi Toth,,generi Toth,0
generis Zykrowych,,generis Zykrowych,0
generus,,generus,0
heredum,,heredum,0
in pignore,,in pignore,0
junioris,,junioris,0
novicius,,novicius,0
orfanorum,,orfanorum,0
pauper,,Pauper,0
pokojni,,pokojni,0
privignus quondam,,privignus quondam,0
"pro curia nobilitary deputatus fumus 0,5",,"pro curia nobilitary deputatus fumus 0,5",0
puella,,Puella,1
quondam,the late (deceased),quondam,0
senioris,,senioris,0
sin,,sin,0
sin Benedictus,,sin Benedictus,0
sin Nicolaus,,sin Nicolaus,0
sinovi,,sinovi,0
soror-magister Franciscus,,soror-magister Franciscus,0
utraque,,utraque,0
