entry_id,source_row,campaign_id,county_id,district_id,place_id,person_id,settlement_type,provincia,rate_forint,rate_denar,rate_note,family_status,title,institution_office,other_holders,taxable_selista,taxable_uncertain,abandoned_selista,abandoned_status,inferred
1,1,3,1,9,2652,2019,oppidum,,,,,Relicta,,,,0,,,,
2,2,3,1,9,3454,2443,,,,,,,,,,0,,,,
3,3,3,1,9,2652,,provincia,,,,,,,,,0,,,,
4,4,3,1,9,2652,,,,,,,,,Župnik (plebanus),,0,,,,
5,5,3,1,9,993,3532,,,,,,,,,,55,,,,
6,6,3,1,9,993,3248,,,,,,,,,,34,,,,
7,7,3,1,9,993,1300,,,,,,,,,,13,,,,
8,8,3,1,9,993,2184,,,,,,,,,,12,,,,
9,9,3,1,9,993,,,,,,,,,Župnik (plebanus),,1,,,,
10,10,3,1,9,937,684,,,,,,,,,,1,,,,
11,11,3,1,9,495,3425,,,,,,,,,,5,,,,
12,12,3,1,9,1257,,,,,,,,,Eremiti (Fratres heremitae),,14,,,,
13,13,3,1,9,943,581,,,,,,Relicta,,,,1,,,,
14,14,3,1,9,944,1720,,,,,,,,,,1,,,,
15,15,3,1,9,944,1595,,,,,,,,,,1,,,,
16,16,3,1,9,1127,1342,,,,,,,,,,2,,,,
17,17,3,1,9,944,1524,,,,,,,,,,3,,,,
18,18,3,1,9,3671,1746,,,,,,,,,,24,,,,
19,19,3,1,9,3671,,,,,,,,,Župnik (plebanus),,1,,,,
20,20,3,1,9,2398,3437,,,,,,,,Litteratus,,8,,,,
21,21,3,1,9,3617,3002,,,,,,,,,,3,,,,
22,22,3,1,9,3617,1744,,,,,,,,,,2,,,,
23,23,3,1,9,2927,,oppidum,,,,,,,,,31,,,,
24,24,3,1,9,2927,,,,,,,,,Župnik (plebanus),,10,,,,
25,25,3,1,9,2927,,provincia,,,,,,,,,170,,,,
26,26,3,1,9,2927,,,,,,,,,Župnik (plebanus)-St.Michael,,5,,,,
27,27,3,1,9,2927,2078,,,,,,,,Prebendarius,,2,,,,
28,28,3,1,9,1080,3200,,,,,,,,,,70,,,,
29,29,3,1,9,1080,,,,,,,,,Župnik (plebanus),,5,,,,
30,30,3,1,9,5,,oppidum,,,,,,,,,0,,,,
31,31,3,1,9,5,,provincia,,,,,,,,,0,,,,
32,32,3,1,9,5,32,,,,,,,,,,12,,,,
33,33,3,1,9,5,,,,,,,,,Župnik (plebanus),,0,,,,
34,34,3,1,9,5,3516,,,,,,,,Prebendarius,,0,,,,
35,35,3,1,9,5,,,,,,,,,Župnik (plebanus)-St. Cosma et Damianus,,0,,,,
36,36,3,1,9,5,,,,,,,,,Župnik (plebanus)-Breznica,,0,,,,
37,37,3,1,9,1153,714,,,,,,,,,,14,,,,
38,38,3,1,9,5,2041,,,,,,,,Prebendarius-Dragowya,,0,,,,
39,39,3,1,9,5,,,,,,,,,Župnik (plebanus)-Dragowya,,0,,,,
40,40,3,1,9,2802,2021,,,,,,Relicta,,,,0,,,,
41,41,3,1,9,1937,748,,,,,,,,,,39,,,,
42,42,3,1,9,1939,1281,,,,,,Relicta,,,,4,,,,
43,43,3,1,9,1939,,,,,,,,,Župnik (plebanus),,5,,,,
44,44,3,1,9,1939,3822,,,,,,,,Predijalac (predialis),,3,,,,
45,45,3,1,9,3003,790,,,,,,,,,,54,,,,
46,46,3,1,9,97,2683,,,,,,,,,,73,,,,
47,47,3,1,9,98,3756,,,,,,,,,,116,,,,
48,48,3,1,9,97,,,,,,,,,Župnik (plebanus),,3,,,,
49,49,3,1,9,2430,,,,,,,,,Župnik (plebanus)-St. Michael,,2.5,,,,
50,50,3,1,9,2430,,,,,,,,,Župnik (plebanus)-Beate Jage,,2,,,,
51,51,3,1,9,2430,2873,,,,,,,,,,3,,,,
52,52,3,1,9,2430,4192,,,,,,,,,,6,,,,
53,53,3,1,9,2430,1524,,,,,,,,,,8,,,,
54,54,3,1,9,2429,2630,,,,,,Relicta,,,,6,,,,
55,55,3,1,9,2429,523,,,,,,Relicta,,,,3,,,,
56,56,3,1,9,2430,226,,,,,,Relicta,,,,2,,,,
57,57,3,1,9,2429,208,,,,,,Relicta,,,,6,,,,
58,58,3,1,9,2430,2041,,,,,,,,,,1,,,,
59,59,3,1,9,2430,3516,,,,,,,,,,8,,,,
60,60,3,1,9,718,3516,,,,,,,,,,16,,,,
61,61,3,1,9,718,4165,,,,,,,,,,16,,,,
62,62,3,1,9,718,3768,,,,,,,,,,6,,,,
63,63,3,1,9,718,2633,,,,,,,,,,6,,,,
64,64,3,1,9,718,3098,,,,,,,,,,3,,,,
65,65,3,1,9,1251,3185,,,,,,Relicta,,,,13,,,,
66,66,3,1,9,1251,4086,,,,,,,,,,1,,,,
67,67,3,1,9,1251,3872,,,,,,,,,,3,,,,
68,68,3,1,9,3829,1879,,,,,,,,,,16,,,,
69,69,3,1,9,3829,2712,,,,,,,,,,17,,,,
70,70,3,1,9,3829,2891,,,,,,,,,,22,,,,
71,71,3,1,9,3829,963,,,,,,,,,,20,,,,
72,72,3,1,9,3412,2891,,,,,,,,,,27,,,,
73,73,3,1,9,3412,961,,,,,,,,,,22,,,,
74,74,3,1,9,3412,,,,,,,,,Župnik (plebanus),,2,,,,
75,75,3,1,9,3412,1879,,,,,,,,,,27,,,,
76,76,3,1,9,3412,2724,,,,,,,,,,20,,,,
77,77,3,1,9,2586,372,,,,,,,,,,73,,,,
78,78,3,1,9,3607,235,oppidum,,,,,,,,,0,,,,
79,79,3,1,9,3607,235,provincia,,,,,,,,,0,,,,
80,80,3,1,9,3607,,,,,,,,,Župnik (plebanus),,0,,,,
81,81,3,1,9,3607,3728,,,,,,,,Prepošt (praepositus),,0,,,,
82,82,3,1,9,2196,2021,,,,,,Relicta,,,,0,,,,
83,83,3,1,9,954,3516,,,,,,,,,,16,,,,
84,84,3,1,9,954,2873,,,,,,Relicta,,,,3,,,,
85,85,3,1,9,954,3970,,,,,,,,,,9,,,,
86,86,3,1,9,954,209,,,,,,Relicta,,,,10,,,,
87,87,3,1,9,954,2734,,,,,,,,,,32,,,,
88,88,3,1,9,954,3185,,,,,,,,,,20,,,,
89,89,3,1,9,1530,1281,,,,,,Relicta,,,,2,,,,
90,90,3,1,9,1529,816,,,,,,,,Judex nobilium,,27,,,,
91,91,3,1,9,1529,,,,,,,,,Capitulum Albense,,22,,,,
92,92,3,1,9,2045,3222,,,,,,,,,,6,,,,
93,93,3,1,9,2045,3434,,,,,,,,,,5,,,,
94,94,3,1,9,168,3052,,,,,,,,,,21,,,,
95,95,3,1,9,2618,1011,,,,,,,,,,20,,,,
96,96,3,1,9,168,3622,,,,,,,,,,12,,,,
97,97,3,1,9,390,1016,,,,,,Relicta,,,,5,,,,
98,98,3,1,9,490,1295,,,,,,,,,,7,,,,
99,99,3,1,9,2487,4190,,,,,,,,,,11,,,,
100,100,3,1,9,3195,2554,,,,,,,,,,21,,,,
101,101,3,1,9,2119,2789,,,,,,Relicta,,,,2,,,,
102,102,3,1,9,2119,819,,,,,,,,,,5,,,,
103,103,3,1,9,2045,2529,,,,,,,,,,2,,,,
104,104,3,1,9,389,744,,,,,,,,,,3,,,,
105,105,3,1,9,2618,,,,,,,,,Župnik (plebanus),,1.5,,,,
106,106,3,1,9,2487,2430,,,,,,,,,,6,,,,
107,107,3,1,9,2487,3631,,,,,,,,,,6,,,,
108,108,3,1,9,772,3888,,,,,,,,,,28,,,,
109,109,3,1,9,981,3822,,,,,,,,,,56,,,,
110,110,3,1,9,981,1249,,,,,,,,,,45,,,,
111,111,3,1,9,1326,867,,,,,,,,,,1,,,,
112,112,3,1,9,3523,,,,,,,,,Župnik (plebanus),,2,,,,
113,113,3,1,9,2068,3738,,,,,,filiorum,,,,50,,,,
114,114,3,1,9,2068,,,,,,,,,Župnik (plebanus),,3,,,,
115,115,3,1,9,2000,1625,,,,,,,,,,8,,,,
116,116,3,1,9,2175,1342,,,,,,,,,,5,,,,
117,117,3,1,9,2000,,,,,,,,,Župnik (plebanus),,1,,,,
118,118,3,1,9,2650,3889,,,,,,,,,,26,,,,
