code,english,canonical,needs_review
Comes,count,Comes,0
Comes de Frangepanibus,,Comes de Frangepanibus,0
Domina,lady,Domina,0
Domina despotissa,,Domina despotissa,0
Domina ducissa,,Domina ducissa,0
Domini,lords,Domini,0
"Domini, comites","lords, counts","Domini, comites",0
Dominus,lord,Dominus,0
Dominus Capituli Chasmensis,,Dominus Capituli Chasmensis,0
Dominus comes,,"Dominus, comes",0
Dominus dux,,Dominus dux,0
Dominus dux Sancte Sabe,,Dominus dux Sancte Sabe,0
Dominus grof,,Dominus grof,0
Dominus reverendissimi,,Dominus reverendissimi,0
"Dominus, Domina",,"Dominus, Domina",0
"Dominus, comes","lord, count","Dominus, comes",0
Dux,duke,Dux,0
"Dux, dominus",,"Dux, dominus",0
Egregius Dominus,,Egregius dominus,0
Egregius dominus,,Egregius dominus,0
Grof,,Grof,0
Illustrisimus dominus,,Illustrisimus dominus,0
Magnifica Domina,,Magnifica Domina,0
Magnificus,magnate (magnificent),Magnificus,0
Magnificus dominus,magnificent lord,Magnificus dominus,0
Nobiles,nobles,Nobiles,0
Nobiles campi Zagrabiensis,nobles of the Zagreb field (Turopolje),Nobiles campi Zagrabiensis,0
Nobilis,noble,Nobilis,0
Reverendissimus dominus,most reverend lord,Reverendissimus dominus,0
Reverendissimus dominus Zagrabiensis,,Reverendissimus dominus Zagrabiensis,0
Sacratissima Caesarea Regia Maiestas,,Sacratissima Caesarea Regia Maiestas,0
Serenissimus et magnificus dominus comes,,Serenissimus et magnificus dominus comes,0
Spectabilis et Magnificus dominus,,Spectabilis et Magnificus dominus,0
Spectabilis et magnificus dominus,,Spectabilis et Magnificus dominus,0
Venerabilis dominus,,Venerabilis dominus,0
Vojvoda,,Vojvoda,0
Waywoda,,Waywoda,0
generosa Domina,,generosa Domina,0
nobiles unius sessionis,,nobiles unius sessionis,0
