source_row,year,year_circa,year_note,tax_type,rate_forint,rate_denar,rate_note,county_name_hr,comitatus_latin,provincia,judge_name,place_historical,settlement_type,modern_place,modern_uncertain,first_name,surname,family_status,institution_office,other_holders,title,taxable_selista,taxable_uncertain,abandoned_selista,abandoned_status,inferred
1,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Rachchya,oppidum,,,Ivan,Groff,Relicta,,,,0,,,,
2,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zazowcz,,,,Johannes,Zaz,,,,,0,,,,
3,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Rachchya,provincia,,,,,,,,,0,,,,
4,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Rachchya,,,,,,,Župnik (plebanus),,,0,,,,
5,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gordova,,,,Petrus,Bochkay,,,,,55,,,,
6,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gordova,,,,Nicolaus,Fanchy,,,,,34,,,,
7,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gordova,,,,Emericus,Fanchy,,,,,13,,,,
8,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gordova,,,,Johannes,Fanchy,,,,,12,,,,
9,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gordova,,,,,,,Župnik (plebanus),,,1,,,,
10,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Garazda,,,,,Zwethkoicz,,,,,1,,,,
11,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Chasmafew,,ČAZMA,1,Osvaldus,,,,,,5,,,,
12,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Iwilovcz,,,,,,,Eremiti (Fratres heremitae),,,14,,,,
13,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gathalovcz,,,,,Thorstek,Relicta,,,,1,,,,
14,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gathalowcz,,,,Georgius,Kwzol,,,,,1,,,,
15,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gathalowcz,,,,Georgius,Boboychych,,,,,1,,,,
16,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Hatko,,,,Franciscus,,,,,,2,,,,
17,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gathalowcz,,,,Gasparus,,,,,,3,,,,
18,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zeyanohrazthye,,,,Georgius,More,,,,,24,,,,
19,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zeyanohrazthye,,,,,,,Župnik (plebanus),,,1,,,,
20,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Paulowcz,,PARUŽEVAC,,Paulus,,,Litteratus,,,8,,,,
21,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zenthkyral,,,,Michael,,,,,,3,,,,
22,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zenthkyral,,,,Georgius,Mindzenthy,,,,,2,,,,
23,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Soploncza,oppidum,,,,,,,,,31,,,,
24,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Soploncza,,,,,,,Župnik (plebanus),,,10,,,,
25,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Soploncza,provincia,,,,,,,,,170,,,,
26,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Soploncza,,,,,,,Župnik (plebanus)-St.Michael,,,5,,,,
27,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Soploncza,,,,Johannes,,,Prebendarius,,,2,,,,
28,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gregwryewyna,,,,Nicolaus,Banfy,,,,,70,,,,
29,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gregwryewyna,,,,,,,Župnik (plebanus),,,5,,,,
30,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,oppidum,,,,,,,,,0,,,,
31,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,provincia,,,,,,,,,0,,,,
32,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,,,,,Baboyelych,,,,,12,,,,
33,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,,,,,,,Župnik (plebanus),,,0,,,,
34,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,,,,Petrus,,,Prebendarius,,,0,,,,
35,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,,,,,,,Župnik (plebanus)-St. Cosma et Damianus,,,0,,,,
36,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,,,,,,,Župnik (plebanus)-Breznica,,,0,,,,
37,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Hom,,HUM,,Albertus,Lonyay,,,,,14,,,,
38,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,,,,Jacobus,,,Prebendarius-Dragowya,,,0,,,,
39,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Achyna,,,,,,,Župnik (plebanus)-Dragowya,,,0,,,,
40,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Rosewcz,,,,Iwan,Groff,Relicta,,,,0,,,,
41,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Marthonpatha,,,,Andreas,Bathory,,,,,39,,,,
42,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Marthonpathaka,,,,Egidius,,Relicta,,,,4,,,,
43,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Marthonpathaka,,,,,,,Župnik (plebanus),,,5,,,,
44,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Marthonpathaka,,,,Stephanus,,,Predijalac (predialis),,,3,,,,
45,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Terbennye,,,,Andreas,Horwath,,,,,54,,,,
46,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Bakolcza,,,,Leonardus,,,,,,73,,,,
47,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,"Bakolcza, Zygeth",,,,Sigismundus,,,,,,116,,,,
48,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Bakolcza,,,,,,,Župnik (plebanus),,,3,,,,
49,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,,,,Župnik (plebanus)-St. Michael,,,2.5,,,,
50,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,,,,Župnik (plebanus)-Beate Jage,,,2,,,,
51,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,Mathias,,,,,,3,,,,
52,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,Vitalis,,,,,,6,,,,
53,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,Gasparus,,,,,,8,,,,
54,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenne,,,,Ladislaus,Weres,Relicta,,,,6,,,,
55,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenne,,,,,Santhych,Relicta,,,,3,,,,
56,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,,Gozache,Relicta,,,,2,,,,
57,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenne,,,,,Forro,Relicta,,,,6,,,,
58,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,Jacobus,,,,,,1,,,,
59,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Pestenneye,,,,Petrus,,,,,,8,,,,
60,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Dobrowych,,,,Petrus,,,,,,16,,,,
61,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Dobrowych,,,,Valentin,,,,,,16,,,,
62,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Dobrowych,,,,Sigismundus,Rosdi,,,,,6,,,,
63,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Dobrowych,,,,Ladislaus,Woykfy,,,,,6,,,,
64,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Dobrowych,,,,Michael,Rachych,,,,,3,,,,
65,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Iwanusowcz,,,,Nicolaus,,Relicta,,,,13,,,,
66,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Iwanusowcz,,,,Thomas,Ispan,,,,,1,,,,
67,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Iwanusowcz,,,,Stephanus,Dylych,,,,,3,,,,
68,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zwhamlaka,,,,Georgius,Zerechen,,,,,16,,,,
69,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zwhamlaka,,,,Ludovicus,,,,,,17,,,,
70,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zwhamlaka,,,,Mathias,Erstek,,,,,22,,,,
71,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zwhamlaka,,,,Benedictus,Kinchtartho,,,,,20,,,,
72,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zagolcza,,,,Mathias,Erstek,,,,,27,,,,
73,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zagolcza,,,,Benedictus,Gary,,,,,22,,,,
74,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zagolcza,,,,,,,Župnik (plebanus),,,2,,,,
75,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zagolcza,,,,Georgius,Zerechen,,,,,27,,,,
76,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zagolcza,,,,Ludovicus,Zerechen,,,,,20,,,,
77,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Predriho,,,,,Martinkhonis,,,,,73,,,,
78,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zenthersebeth,oppidum,,,,Groff,,,,,0,,,,
79,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zenthersebeth,provincia,,,,Groff,,,,,0,,,,
80,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zenthersebeth,,,,,,,Župnik (plebanus),,,0,,,,
81,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Zenthersebeth,,,,Philipus,,,Prepošt (praepositus),,,0,,,,
82,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Nowak,,NOVAKI,,Iwan,Groff,Relicta,,,,0,,,,
83,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gerecz,,,,Petrus,,,,,,16,,,,
84,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gerecz,,,,Mathias,,Relicta,,,,3,,,,
85,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gerecz,,,,Stephanus,Peres,,,,,9,,,,
86,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gerecz,,,,,Fychor,Relicta,,,,10,,,,
87,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gerecz,,,,Marcus,,,,,,32,,,,
88,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Gerecz,,,,Nicolaus,,,,,,20,,,,
89,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Kopakowcz,,,,Egidius,,Relicta,,,,2,,,,
90,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Kopachowcz,,,,Andreas,Thoca,,Judex nobilium,,,27,,,,
91,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Kopachowcz,,,,,,,Capitulum Albense,,,22,,,,
92,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Mochyla,,,,Nicolaus,Borothwa,,,,,6,,,,
93,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Mochyla,,,,Paukonis,,,,,,5,,,,
94,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Belosowcz,,,,Michael,Kerhen,,,,,21,,,,
95,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Progowcz,,,,Blasius,,,,,,20,,,,
96,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Belosowcz,,,,Petrus,Kerhen,,,,,12,,,,
97,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Bwdrocz,,,,Blasius,Bwdor,Relicta,,,,5,,,,
98,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Chapolowcz,,,,Emericus,,,,,,7,,,,
99,1495,,,dica,,,,Križevačka županija,Comitatus Crisiensis,,Andreas Toca,Podbresye,,PODBREŽJE,1,Vital,,,,,,11,,,,
