table,shorter_form,fuller_form
institution_codes,Abbatia,Abbatia Beatae Mariae Virginis
institution_codes,Abbatia,Abbatia Beatae Virginis
institution_codes,Abbatia,Abbatia Beate Virginis de area capitulari
institution_codes,Abbatia,Abbatia ad Thopozkam
institution_codes,Abbatia,Abbatia bellensis
institution_codes,Abbatia,Abbatia thoplicensis
institution_codes,Abbatia,Abbatia zagrabiensis
institution_codes,Biskup zagrebački (Episcopus Zagrabiensis),Biskup zagrebački (Episcopus Zagrabiensis) de Zenthgergh
institution_codes,Biskup zagrebački (Episcopus Zagrabiensis),"Biskup zagrebački (Episcopus Zagrabiensis), Archiepiscopus"
institution_codes,Cantor,Cantor-St. Crux
institution_codes,Custos,Custos Chasmensis
institution_codes,Dicator,Dicator (Ladislaus Imprych)
institution_codes,Dicator,Dicator (gener eius)
institution_codes,Director,Director causae
institution_codes,Ducissa,Ducissa* de dicto Medwewar
institution_codes,Dux,Dux (knez)
institution_codes,Episcopus,"Episcopus, banus"
institution_codes,Eremiti (Fratres heremitae),Eremiti (Fratres heremitae) Beate Anne
institution_codes,Eremiti (Fratres heremitae),Eremiti (Fratres heremitae) St. Benedicti
institution_codes,Eremiti (Fratres heremitae),Eremiti (Fratres heremitae) prope Zagrabiam
institution_codes,Eremiti (Fratres heremitae),Eremiti (Fratres heremitae) sub Garyg
institution_codes,Eremiti (Fratres heremitae),Eremiti (Fratres heremitae) sub Medwe
institution_codes,Eremiti (Fratres heremitae),Eremiti (Fratres heremitae) zagrebački
institution_codes,Eremiti (Fratres heremitae),Eremiti (Fratres heremitae)-Lepoglava
institution_codes,Fratres,Fratres Eremiti (Fratres heremitae)
institution_codes,Fratres,Fratres Eremiti (Fratres heremitae)-Lepoglava
institution_codes,Fratres,Fratres Sancte Anne
institution_codes,Fratres,Fratres St. Anne
institution_codes,Fratres,Fratres St. Augustini
institution_codes,Fratres,Fratres St. Francisci
institution_codes,Fratres,Fratres de Kamennye
institution_codes,Fratres,Fratres predicatores
institution_codes,Fratres,Fratres predicatores-Chasma
institution_codes,Fratres,Fratres predicatorum
institution_codes,Fratres,Fratres zagrabienses
institution_codes,Fratres,Fratres-Crisium
institution_codes,Fratres,Fratres-Lepoglava
institution_codes,Fratres,Fratres-Ludbreg
institution_codes,Fratres,Fratres-Varasd
institution_codes,Fratres,Fratres-franjevci
institution_codes,Fratres,Fratres-pavlini-Lepoglava
institution_codes,Fratres Eremiti (Fratres heremitae),Fratres Eremiti (Fratres heremitae)-Lepoglava
institution_codes,Fratres predicatores,Fratres predicatores-Chasma
institution_codes,Judex nobilium,Judex nobilium (Zagrebačka župnija)
institution_codes,Judex nobilium,Judex nobilium ultra Kwppam
institution_codes,Judex nobilium,"Judex nobilium, Litteratus"
institution_codes,Kaptol zagrebački,Kaptol zagrebački (Capitulum Zagrabiense)
institution_codes,Kaptol Čazmanski,Kaptol čazmanski (Capitulum Chasmense)
institution_codes,Kralj (rex),"Kralj (rex), cum colonis nobilium ibidem praedialium"
institution_codes,Lector,Lector Casmensis
institution_codes,Lector,Lector-Zagrabia
institution_codes,Litteratus,Litteratus Chasmensis
institution_codes,Litteratus,"Litteratus, Judex nobilium"
institution_codes,Litteratus,"Litteratus, Michael"
institution_codes,Litteratus,"Litteratus, Predialis (predijalac)"
institution_codes,Litteratus,"Litteratus, civis Zagrabiensis"
institution_codes,Litteratus,"Litteratus, dicator"
