county,authority_id,canonical_name,place_ids,raw_spellings,years,n_entries
Križevačka županija,984,Mylethyncz,2029 2109 2110 2112,Milethyncz | Mylethincz | Mylethynch | Mylethyncz,"1495, 1507, 1513, 1520",58
Križevačka županija,1154,Pesthenye,2429 2430 2431 2432,Pestenne | Pestenneye | Pesthenye | Pesthyene,"1495, 1507, 1513, 1517",45
Križevačka županija,976,Myndzenth,2017 2030 2118 2119 2123 2124,Mendzenth | Mindzenth | Myndzeenth | Myndzenth | Mynthzenth | Mynzenth,"1495, 1507, 1512, 1513, 1517, 1520, 1533",43
Zagrebačka županija,1048,Nobiles unius sessionis,2183,Nobiles unius sessionis,1553,41
Varaždinska županija,1755,Zotezka,3759 3762,Zotezka | Zothezka,"1533, 1543, 1553, 1554, 1567, 1568, 1570, 1576, 1582",40
Križevačka županija,933,Megwrechye,1908 1997 2002 2003 2006 2008 2009 2010,Magwrechya | Megereche | Megwrechya | Megwrechye | Megyerechye | Megyrechya | Megywreche | Megywrechye,"1495, 1507, 1513, 1517, 1543",29
Križevačka županija,5,Achyna,5,Achyna,"1495, 1507, 1513, 1517",27
Križevačka županija,488,Gerecz,954,Gerecz,"1495, 1507, 1513, 1517",27
Križevačka županija,155,Bwthkafeld,327 416 417 418 420,Bothkafeld | Bwthkafeld | Bwthkafelde | Bwthkafewlde | Bwtkafeld,"1495, 1507, 1513, 1517",24
Križevačka županija,1122,Palychna Zenth Peter,2375 2378 2379 2380 2382 2383,Palichna Zenthpeter | Palychna Zenth Peter | Palychna Zenth Pether | Palychna Zenthpeter | Palychna Zenthpether | Palychnazenth Peter,"1495, 1507, 1513, 1517",24
Križevačka županija,1697,Zenthmyklos,3584 3637,Zenth Myklos | Zenthmyklos,"1495, 1507, 1513, 1517",23
Križevačka županija,1676,Zenthersebeth,3543 3607,Zenth Ersebeth | Zenthersebeth,"1495, 1507, 1513, 1517",20
Zagrebačka županija,1488,Threm,3082 3086 3109 3115,Threm | Thryem | Trem | Tryem,"1507, 1509, 1517, 1543, 1546, 1553, 1554, 1567, 1568, 1570, 1573, 1574, 1579, 1582, 1596",20
Križevačka županija,232,Chakowcz,481,Chakowcz,"1495, 1507, 1513, 1517",19
Križevačka županija,943,Marthonpathaka,1924 1936 1937 1938 1939,Marhtonpathaka | Marthon Pathaka | Marthonpatha | Marthonpathaca | Marthonpathaka,"1495, 1507, 1513, 1517",19
Križevačka županija,1006,Monozlo,2061,Monozlo,"1507, 1512, 1513, 1520",19
Križevačka županija,1221,Prasnycza,2574 2575 2576 2578,Prasnicza | Prasnycha | Prasnycza | Prassnycza,"1495, 1507, 1512, 1520, 1570",19
Križevačka županija,1715,Zerdahel,3657,Zerdahel,"1495, 1507, 1512, 1513, 1517, 1520",19
Varaždinska županija,1552,Welkowcz,3207 3208,Welkovcz | Welkowcz,"1507, 1543, 1567, 1568, 1570, 1576, 1582, 1596",19
Križevačka županija,1681,Zenth Kerest,3562 3564 3616,Zenth Kerest | Zenth Kerezth | Zenthkerezth,"1507, 1512, 1513",18
Zagrebačka županija,1660,Zethnychky Werh,3509 3510 3654 3664 3665 3796 3808 3809,Zemzky Werh | Zemzkywerh | Zenzki Werh | Zethnychky Werh | Zethnychkywerh | Zthopnychky Werh | Ztopnychky Werh | Ztopnychkywerh,"1570, 1573, 1574, 1576, 1579",18
Križevačka županija,75,Belowarcz,150 169 170 171,Belawarcz | Belowarch | Belowarcz | Belowarcz*,"1495, 1500, 1507, 1512, 1513, 1520, 1533, 1543, 1554",17
Križevačka županija,1621,Zalathnok,3420 3421 3690,Zalathnak | Zalathnok | Zlathnok,"1495, 1507, 1513, 1517",17
Virovitička županija,1555,Werewcze,3222 3225 3347,Wereucze | Werewcze | Wreucze,"1507, 1513, 1517, 1520",17
Zagrebačka županija,873,Lekanucz ad Lwkawcz,1747,Lekanucz ad Lwkawcz,1509,17
Križevačka županija,63,Bednye,124 128,Bedenye | Bednye,"1507, 1513, 1573, 1574, 1576, 1579",16
Križevačka županija,509,Gordowa,993 994,Gordova | Gordowa,"1495, 1507, 1513",16
Križevačka županija,621,Hwzarcz,1218,Hwzarcz,"1495, 1507, 1512, 1513, 1520",16
Križevačka županija,664,Janosowcz,1318 1320 1321,Janosowcz | Janusowcz | Janussowcz,"1507, 1513, 1517",16
Križevačka županija,864,Lazthesyn,1731 1732 1733 1742,Lastesin | Lasthesin | Latesin | Lazthesyn,"1495, 1507, 1513, 1517",16
Križevačka županija,374,Dobrowych,717 718 719 720,Dobrowoych | Dobrowych | Dobrowyncz | Dobryncz,"1495, 1507, 1513, 1517",15
Križevačka županija,1243,Prodawyz,2616 2617,Prodauiz | Prodawyz,"1507, 1513, 1520",15
Križevačka županija,1266,Racha,2651 2652,Racha | Rachchya,"1495, 1507, 1513, 1517",15
Križevačka županija,1489,Tremecz,3083 3110,Thremecz | Tremecz,"1507, 1512, 1513, 1520",15
Virovitička županija,1398,Simonwelge,2922 2971,Simonwelge | Symonwelge,"1507, 1513, 1517, 1520",15
Zagrebačka županija,1237,Prykraye,2610 2628 2630,Prikray | Prykray | Prykraye,"1543, 1553, 1573, 1574, 1576, 1579",15
Zagrebačka županija,1318,Ryeka,2749 2814,Reka | Ryeka,"1568, 1570, 1573, 1574, 1576, 1579, 1582, 1596",15
Križevačka županija,532,Gragena,1045 1046 1047,Gragena | Gragenna | Gragenya,"1495, 1507, 1512, 1513, 1520",14
Križevačka županija,1786,Zwha Mlaka,3821 3828 3829,Zuha Mlaka | Zwha Mlaka | Zwhamlaka,"1495, 1507, 1513, 1517",14
Varaždinska županija,1729,Zlathyna,3692 3693,Zlathyna | Zlatina,"1513, 1543, 1553, 1567, 1568, 1570, 1576, 1582, 1596",14
Križevačka županija,80,Belosowcz,159 166 168 179,Belesowcz | Bellessowcz | Belosowcz | Belwsowcz,"1495, 1507, 1513, 1517, 1520",13
Križevačka županija,434,Erwencze,849,Erwencze,"1495, 1507, 1517",13
Križevačka županija,634,Iwanusowcz,1237 1248 1249 1250 1251 1252,Inwsowcz | Iwannussowcz | Iwanosowcz | Iwanowcz | Iwanusowcz | Iwanwssowcz,"1495, 1507, 1512, 1513, 1517, 1520",13
Križevačka županija,1402,Soploncza,2927,Soploncza,"1495, 1513, 1517",13
Varaždinska županija,1038,Nassenyna,2164 2167,Nasenyna | Nassenyna,"1533, 1553, 1554, 1567, 1570, 1576, 1582",13
Križevačka županija,48,Bakowcza,99 100,Bakowcha | Bakowcza,"1507, 1513, 1517",12
Križevačka županija,282,Christalocz,571 572 636 637 638 639 641,Christalocz | Christhalowcz | Cristallowcz | Cristalowcz | Cristhalowcz | Cristocz | Crysthalowcz,"1495, 1507, 1517",12
Križevačka županija,1177,Podgorya,2494,Podgorya,"1495, 1507, 1512, 1513, 1517, 1520",12
Križevačka županija,1211,Posaheg,2558 2559 2562,Posaheg | Posahegh | Powsahegh,"1495, 1507, 1512, 1513, 1520, 1533",12
Križevačka županija,1740,Zobothycza,3715 3719,Zlobothycza | Zobothycza,"1495, 1507, 1513, 1520",12
Varaždinska županija,246,Cheperlyncz,509,Cheperlyncz,"1543, 1553, 1554, 1567, 1568, 1570",12
Virovitička županija,892,Lyppa,1795 1876,Lippa | Lyppa,"1507, 1513, 1517, 1520",12
Virovitička županija,1572,Wlachin,3267 3270,Wlachin | Wlachyn,"1507, 1513, 1517, 1520",12
Zagrebačka županija,55,Barachka,111 112,Barachka | Baraczka,"1566, 1567",12
Zagrebačka županija,369,Dobrawa,711,Dobrawa,"1570, 1574, 1579",12
Zagrebačka županija,1494,Thwran,3089 3116,Thwran | Turan,"1573, 1574, 1576, 1579, 1582, 1596",12
Križevačka županija,175,Brezoycza,359 366 368,Brezoycza | Brezthoycza | Breztoycha,"1495, 1513, 1520, 1533",11
Križevačka županija,557,Gwrgewcz,1093 1106 1107 1108 1113 1115 1116 1117,Gurgekowcz | Gwrgenowcz | Gwrgeroucz | Gwrgewcz | Gywgyekowcz | Gywrgyekowcz | Gywrgykowchecz | Gywrgykowcz,"1507, 1512, 1513, 1520",11
Križevačka županija,841,Kwtthennya,1686 1687 1688 1694,Kwtennya | Kwthennya | Kwthenya | Kwtthennya,"1495, 1507, 1517",11
Križevačka županija,872,Leskowcz,1746 1767 1769 1772 1777 1782 1792,Leczkowcz | Leschakowcz | Leskowcz | Lestakowcz | Lesthakowcz | Leszthakowcz | Lezkovcz,"1495, 1507, 1513, 1517, 1520",11
Križevačka županija,982,Mykethyncz,2026 2095 2096 2097,Miketincz | Mykethincz | Mykethyncz | Myketyncz,"1507, 1512, 1513, 1520, 1533",11
Varaždinska županija,196,"Bwdyndol, Hansewcz",395,"Bwdyndol, Hansewcz","1553, 1554, 1567, 1568, 1570, 1582",11
Virovitička županija,1705,Zenthendree,3604 3605 3606,Zenthendre | Zenthendree | Zenthendrey,"1507, 1513, 1517, 1520",11
Zagrebačka županija,662,Jendrassewcz,1315 1316 1383,Jandrasseucz | Jandrassewcz | Jendrassewcz,"1570, 1573, 1574, 1576, 1579, 1582, 1596",11
Zagrebačka županija,1078,Omelya,2260 2262,Omellya | Omelya,"1553, 1566, 1567, 1568, 1570",11
Križevačka županija,64,Bedowcz,125 132 133,Bedkowcz | Bedowcz | Bedowhcz,"1512, 1513, 1520",10
